DATE,IPGMFN
2016-05-01,99.33
2016-06-01,101.4706
2016-07-01,97.4032
2016-08-01,100.1181
2016-09-01,100.2251
2016-10-01,100.7957
2016-11-01,99.1506
2016-12-01,97.8631
2017-01-01,97.5144
2017-02-01,99.0478
2017-03-01,100.0628
2017-04-01,99.4953
2017-05-01,100.2406
2017-06-01,102.1658
2017-07-01,98.2446
2017-08-01,100.7353
2017-09-01,100.4008
2017-10-01,101.9166
2017-11-01,100.6784
2017-12-01,99.4976
2018-01-01,98.1644
2018-02-01,100.8428
2018-03-01,101.9623
2018-04-01,102.2239
2018-05-01,101.0654
2018-06-01,103.5148
2018-07-01,100.0718
2018-08-01,103.0988
2018-09-01,102.7597
2018-10-01,102.3869
2018-11-01,100.8401
2018-12-01,100.1517
2019-01-01,98.7742
2019-02-01,99.852
2019-03-01,100.9507
2019-04-01,99.381
2019-05-01,99.3338
2019-06-01,101.5988
2019-07-01,97.3256
2019-08-01,100.883
2019-09-01,99.7937
2019-10-01,99.1913
2019-11-01,98.8888
2019-12-01,97.9421
2020-01-01,97.2791
2020-02-01,99.4114
2020-03-01,95.8067
2020-04-01,79.612
2020-05-01,83.7517
2020-06-01,91.6673
2020-07-01,91.4247
2020-08-01,95.6447
2020-09-01,94.3288
2020-10-01,96.344
2020-11-01,95.5176
2020-12-01,95.0252
2021-01-01,96.0167
2021-02-01,93.6845
2021-03-01,97.6827
2021-04-01,96.897
2021-05-01,97.893
2021-06-01,99.3052
2021-07-01,97.1403
2021-08-01,99.1917
2021-09-01,97.2002
2021-10-01,99.5508
2021-11-01,99.2115
2021-12-01,98.0683
2022-01-01,97.6361
2022-02-01,100.2758
2022-03-01,102.3594
2022-04-01,100.5128
2022-05-01,101.1607
2022-06-01,102.2186
2022-07-01,99.2989
2022-08-01,101.7727
2022-09-01,101.2498
2022-10-01,102.0855
2022-11-01,100.1035
2022-12-01,96.9749
2023-01-01,98.3802
2023-02-01,100.3565
2023-03-01,100.8407
2023-04-01,100.6916
2023-05-01,100.4892
2023-06-01,101.2999
2023-07-01,98.2418
2023-08-01,100.8403
2023-09-01,100.2211
2023-10-01,100.2605
2023-11-01,99.5743
2023-12-01,98.7004
